"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","compliesWith","(U) ","compliesWith attribute",
"(U) ","classification","(U) ","classification attribute",
"(U) ","ownerProducer","(U) ","ownerProducer attribute",
"(U) ","SCIcontrols","(U) ","SCIcontrols attribute",
"(U) ","SARIdentifier","(U) ","SARIdentifier attribute",
"(U) ","atomicEnergyMarkings","(U) ","atomicEnergyMarkings attribute",
"(U) ","disseminationControls","(U) ","disseminationControls attribute",
"(U) ","FGIsourceOpen","(U) ","FGIsourceOpen attribute",
"(U) ","FGIsourceProtected","(U) ","FGIsourceProtected attribute",
"(U) ","hasApproximateMarkings","(U) ","hasApproximateMarkings attribute",
"(U) ","releasableTo","(U) ","releasableTo attribute",
"(U) ","displayOnlyTo","(U) ","displayOnlyTo attribute",
"(U) ","nonICmarkings","(U) ","nonICmarkings attribute",
"(U) ","classifiedBy","(U) ","classifiedBy attribute",
"(U) ","derivativelyClassifiedBy","(U) ","derivativelyClassifiedBy attribute",
"(U) ","classificationReason","(U) ","classificationReason attribute",
"(U) ","nonUSControls","(U) ","nonUSControls attribute",
"(U) ","derivedFrom","(U) ","derivedFrom attribute",
"(U) ","declassDate","(U) ","declassDate attribute",
"(U) ","declassEvent","(U) ","declassEvent attribute",
"(U) ","declassException","(U) ","declassException attribute",
"(U) ","resourceElement","(U) ","resourceElement attribute",
"(U) ","highWaterNATO","(U) ","highWaterNATO attribute",
"(U) ","excludeFromRollup","(U) ","excludeFromRollup attribute",
"(U) ","createDate","(U) ","createDate attribute",
"(U) ","compilationReason","(U) ","compilationReason attribute",
"(U) ","noAggregation","(U) ","noAggregation attribute",
"(U) ","noticeType","(U) ","noticeType attribute",
"(U) ","noticeProseID","(U) ","noticeProseID attribute",
"(U) ","externalNotice","(U) ","externalNotice attribute",
"(U) ","DESVersion","(U) ","DESVersion attribute",
"(U) ","ISMCATCESVersion","(U) ","ISMCATCESVersion attribute",
"(U) ","noticeDate","(U) ","notice date attribute",
"(U) ","noticeReason","(U) ","notice Reason attribute",
"(U) ","exemptFrom","(U) ","exemptFrom attribute",
"(U) ","unregisteredNoticeType","(U) ","unregisteredNoticeType attribute",
"(U) ","pocType","(U) ","Specifies a point-of contact for a security-related
            requirement.",
"(U) ","joint","(U) ","Indicator that multiple ownerProducers should be interpreted
            as JOINT.",
"(U) ","cuiBasic","(U) ","CUI Basic markings.",
"(U) ","cuiSpecified","(U) ","CUI Specified markings.",
"(U) ","cuiDecontrolDate","(U) ","Decontrol date for CUI.",
"(U) ","cuiDecontrolEvent","(U) ","Decontrol event for CUI.",
"(U) ","cuiControlledBy","(U) ","Person or authority for labeling and controlling information as CUI.",
"(U) ","cuiControlledByOffice","(U) ","Office in an agency or department that is responsible for
            labeling and controlling information as CUI.  Ref DOD INSTRUCTION 5200.48.",
"(U) ","cuiPOC","(U) ","Point of Contact for labeling and controlling information
            as CUI.  Ref DOD INSTRUCTION 5200.48.",
"(U) ","secondBannerLine","(U) ","Tokens that contain markings used to support administrative and legal processes for handling and protecting
            documents. When they appear in a document, these tokens form a second line that is placed below the banner.",
"(U) ","handleViaChannels","(U) ","Handle VIA Channels that may appear in the second banner line.",

